name,title,expertises,experiences
陳五福,橡子園顧問有限公司 董事長,,"智融創新顧問股份有限公司 創辦人暨董事長
Acorn Campus橡子園育成中心 創辦人暨董事長
創立Navini Networks / Shasta Networks / Ardent /高鴻股份有限公司 / 信威股份有限公 etc."
黃肇雄,訊連科技 董事長,,"訊連科技 創辦人暨董事長
台大資訊系 教授"
黃彥臻,鑽石生技投資股份有限公司 資深協理,,"Co-funder / China Biotech Advisor
Vice-Chairman / Industrial Economics Development Committee
Manager / Chinese Pharmaceutical Manufacture and Development Association (CPMDA)
ITRI _ Engineer / Industrial Economics and Knowledge Center"
廖如圭,台灣創新加速中心 執行長,,"台灣創新加速中心執行長 
舊金山 Founders Space育成中心和加速器評審
交大產學運籌中心創新創業 Startup Lab 國際業師和評審 
行政院青創基地顧問 
教育部新型態產學研價創計劃評審和業師"
林大涵,貝殼放大 創辦人暨執行長,,"2014 年 10 月創辦群眾集資顧問公司「貝殼放大」，提供國內外群眾集資專案諮詢、製作、行銷與後續投資媒合的全面服務。
2015 年《經理人月刊》頒發 2015年度臺灣 MVP 經理人
2016 年獲《富比士》雜誌選為 30 under 30 asia."
